Seniority,Home,Time,Age,Marital,Records,Job,Expenses,Income,Assets,Debt,Amount,Price
9,1,60,30,2,1,3,73,129,0,0,800,846
17,1,60,58,3,1,1,48,131,0,0,1000,1658
10,2,36,46,2,2,3,90,200,3000,0,2000,2985
0,1,60,24,1,1,1,63,182,2500,0,900,1325
0,1,36,26,1,1,1,46,107,0,0,310,910
1,2,60,36,2,1,1,75,214,3500,0,650,1645
29,2,60,44,2,1,1,75,125,10000,0,1600,1800
9,5,12,27,1,1,1,35,80,0,0,200,1093
0,2,60,32,2,1,3,90,107,15000,0,1200,1957
0,5,48,41,2,1,2,90,80,0,0,1200,1468
6,2,48,34,2,1,3,60,125,4000,0,1150,1577
7,2,36,29,2,1,1,60,121,3000,0,650,915
8,2,60,30,2,1,1,75,199,5000,2500,1500,1650
19,3,36,37,2,1,1,75,170,3500,260,600,940
0,6,18,21,1,2,2,35,50,0,0,400,500
0,2,24,68,2,1,1,75,131,4162,0,900,1186
15,3,24,52,1,1,3,35,330,16500,0,1500,2201
33,1,24,68,2,1,3,65,200,5000,2000,600,1350
0,4,48,36,2,1,2,45,130,750,0,1100,1511
1,5,60,31,1,1,1,35,137,0,0,1250,1253
2,1,60,25,1,1,1,46,107,0,0,1500,2189
5,2,60,22,1,1,1,45,324,10000,0,1100,1159
1,2,60,45,2,1,2,105,112,2000,500,600,1332
27,1,60,41,2,1,1,74,140,0,0,950,1497
26,2,60,51,2,1,1,45,143,3500,0,1350,1357
12,2,36,54,2,1,1,60,130,4000,0,700,2100
19,2,60,43,1,1,1,75,180,4000,0,1000,1070
15,2,36,43,2,1,1,75,251,4000,0,1800,2557
3,2,24,23,2,1,1,75,85,5000,0,600,1600
4,2,48,29,2,1,1,45,150,5000,3300,1100,1312
0,2,36,23,1,1,2,45,122,2500,0,400,400
14,3,24,51,2,1,2,75,198,1000,0,450,650
10,2,36,39,2,1,3,75,150,3000,0,1000,1394
12,5,36,35,1,1,1,35,170,0,0,1100,1542
32,2,24,62,2,1,3,45,119,8500,0,700,1200
10,2,24,56,2,1,3,45,208,13500,0,500,1560
7,2,48,32,2,1,1,75,115,3000,0,800,1200
1,1,54,36,2,1,1,70,99,0,0,950,950
30,2,60,64,2,1,1,45,120,14000,0,1125,1300
5,1,48,31,1,1,1,44,90,0,0,1300,1700
24,2,60,42,2,1,1,75,137,4000,0,900,1167
0,2,60,61,3,1,4,35,230,50000,0,950,1150
0,2,60,32,2,2,1,45,142,7000,3000,1250,1566
2,2,60,43,2,1,2,75,71,3000,0,1500,1552
1,5,60,26,1,1,2,35,120,0,0,1150,1300
1,2,60,49,3,1,3,35,233,15900,4500,2100,2104
15,2,36,47,2,1,1,75,289,3500,0,1500,2154
