Seniority,Home,Time,Age,Marital,Records,Job,Expenses,Assets,Debt,Amount,Price,Income
9,1,60,30,2,1,3,73,0,0,800,846,0.0
17,1,60,58,3,1,1,48,0,0,1000,1658,0.0
10,2,36,46,2,2,3,90,3000,0,2000,2985,0.0
0,1,60,24,1,1,1,63,2500,0,900,1325,0.0
0,1,36,26,1,1,1,46,0,0,310,910,0.0
1,2,60,36,2,1,1,75,3500,0,650,1645,0.0
29,2,60,44,2,1,1,75,10000,0,1600,1800,0.0
9,5,12,27,1,1,1,35,0,0,200,1093,0.0
0,2,60,32,2,1,3,90,15000,0,1200,1957,0.0
0,5,48,41,2,1,2,90,0,0,1200,1468,0.0
6,2,48,34,2,1,3,60,4000,0,1150,1577,0.0
7,2,36,29,2,1,1,60,3000,0,650,915,0.0
8,2,60,30,2,1,1,75,5000,2500,1500,1650,0.0
19,3,36,37,2,1,1,75,3500,260,600,940,0.0
0,6,18,21,1,2,2,35,0,0,400,500,0.0
0,2,24,68,2,1,1,75,4162,0,900,1186,0.0
15,3,24,52,1,1,3,35,16500,0,1500,2201,0.0
33,1,24,68,2,1,3,65,5000,2000,600,1350,0.0
0,4,48,36,2,1,2,45,750,0,1100,1511,0.0
1,5,60,31,1,1,1,35,0,0,1250,1253,0.0
2,1,60,25,1,1,1,46,0,0,1500,2189,0.0
5,2,60,22,1,1,1,45,10000,0,1100,1159,0.0
1,2,60,45,2,1,2,105,2000,500,600,1332,0.0
27,1,60,41,2,1,1,74,0,0,950,1497,0.0
26,2,60,51,2,1,1,45,3500,0,1350,1357,0.0
12,2,36,54,2,1,1,60,4000,0,700,2100,0.0
19,2,60,43,1,1,1,75,4000,0,1000,1070,0.0
15,2,36,43,2,1,1,75,4000,0,1800,2557,0.0
3,2,24,23,2,1,1,75,5000,0,600,1600,0.0
4,2,48,29,2,1,1,45,5000,3300,1100,1312,0.0
0,2,36,23,1,1,2,45,2500,0,400,400,0.0
14,3,24,51,2,1,2,75,1000,0,450,650,0.0
10,2,36,39,2,1,3,75,3000,0,1000,1394,0.0
12,5,36,35,1,1,1,35,0,0,1100,1542,0.0
32,2,24,62,2,1,3,45,8500,0,700,1200,0.0
10,2,24,56,2,1,3,45,13500,0,500,1560,0.0
7,2,48,32,2,1,1,75,3000,0,800,1200,0.0
1,1,54,36,2,1,1,70,0,0,950,950,0.0
30,2,60,64,2,1,1,45,14000,0,1125,1300,0.0
5,1,48,31,1,1,1,44,0,0,1300,1700,0.0
24,2,60,42,2,1,1,75,4000,0,900,1167,0.0
0,2,60,61,3,1,4,35,50000,0,950,1150,0.0
0,2,60,32,2,2,1,45,7000,3000,1250,1566,0.0
2,2,60,43,2,1,2,75,3000,0,1500,1552,0.0
1,5,60,26,1,1,2,35,0,0,1150,1300,0.0
1,2,60,49,3,1,3,35,15900,4500,2100,2104,0.0
15,2,36,47,2,1,1,75,3500,0,1500,2154,0.0
2,1,36,27,4,1,1,48,0,0,450,545,0.0
25,2,36,52,2,1,3,60,15000,0,750,1778,0.0
8,2,60,28,2,1,1,60,4000,1000,1600,1718,0.0
5,2,60,31,2,1,1,75,4000,0,900,1500,0.0
0,1,60,32,2,1,1,105,0,0,1200,1274,0.0
5,2,36,51,2,1,3,75,2100,1200,900,1015,0.0
3,5,12,37,2,1,3,60,500,0,500,1701,0.0
1,1,48,29,2,2,3,85,0,0,1000,1345,0.0
7,5,60,26,1,1,1,35,0,0,1000,1238,0.0
4,5,30,27,1,1,1,45,5000,0,500,1048,0.0
6,2,24,63,2,1,1,60,4000,0,600,1048,0.0
14,2,24,55,2,1,1,90,5000,0,800,1324,0.0
3,1,60,28,2,1,1,70,0,0,1830,2201,0.0
8,1,48,31,2,1,1,90,0,0,1100,1430,0.0
4,5,42,27,1,1,1,35,0,0,600,926,0.0
22,2,24,40,2,1,1,75,3000,0,1000,1500,0.0
2,2,36,35,2,1,1,75,3000,0,1000,1542,0.0
15,3,60,43,2,1,1,75,3000,0,1350,1360,0.0
10,2,18,34,2,1,3,75,4000,0,600,1000,0.0
4,2,60,37,2,1,1,60,3000,0,1200,1564,0.0
9,2,60,53,2,1,1,45,2500,0,850,1205,0.0
22,1,60,46,2,1,1,93,7500,0,2000,2200,0.0
18,5,36,36,2,1,3,60,0,0,900,2214,0.0
1,3,60,46,2,1,1,60,5500,800,1000,1137,0.0
14,2,48,43,2,1,1,45,9000,0,600,1025,0.0
8,2,36,31,2,2,3,75,9000,4000,800,1593,0.0
5,2,24,43,2,1,1,75,3000,0,700,1735,0.0
19,1,60,38,2,1,1,86,0,0,1000,1132,0.0
14,2,12,37,2,1,3,90,4000,0,500,1338,0.0
0,6,36,46,2,2,4,45,0,0,900,1100,0.0
9,1,36,55,2,1,1,70,30000,0,1750,2276,0.0
29,2,48,56,2,1,1,45,3000,0,900,1360,0.0
10,2,36,55,2,1,1,60,4000,0,1000,1436,0.0
10,5,36,52,2,1,1,60,0,0,550,612,0.0
1,2,36,29,2,1,1,60,4500,0,850,1100,0.0
11,2,60,39,5,2,1,35,2500,0,1000,1300,0.0
10,2,60,38,2,1,3,75,9000,0,1000,2089,0.0
5,2,24,24,1,1,1,35,6000,3000,500,2262,0.0
10,1,60,28,1,1,1,47,0,0,600,1054,0.0
27,2,60,53,2,1,1,60,10000,0,1426,1426,0.0
0,1,60,25,1,1,2,40,0,0,1040,1048,0.0
25,1,60,62,2,1,1,60,0,0,1000,1292,0.0
