Seniority,Home,Time,Age,Marital,Records,Job,Expenses,Income,Assets,Debt,Amount,Price,ProbDef
9,1,60,30,2,1,3,73,0.0,0,0,800,846,0.3334419184838973
17,1,60,58,3,1,1,48,0.0,0,0,1000,1658,0.047324792544894016
10,2,36,46,2,2,3,90,0.0,3000,0,2000,2985,0.3869049743181368
0,1,60,24,1,1,1,63,0.0,2500,0,900,1325,0.21597843792925184
0,1,36,26,1,1,1,46,0.0,0,0,310,910,0.2343221649361898
1,2,60,36,2,1,1,75,0.0,3500,0,650,1645,0.05331537206758656
29,2,60,44,2,1,1,75,0.0,10000,0,1600,1800,0.04854607842630005
9,5,12,27,1,1,1,35,0.0,0,0,200,1093,0.08794128751273275
0,2,60,32,2,1,3,90,0.0,15000,0,1200,1957,0.2745643701553886
0,5,48,41,2,1,2,90,0.0,0,0,1200,1468,0.5791451842176953
6,2,48,34,2,1,3,60,0.0,4000,0,1150,1577,0.31625164452617355
7,2,36,29,2,1,1,60,0.0,3000,0,650,915,0.2375402939738213
8,2,60,30,2,1,1,75,0.0,5000,2500,1500,1650,0.2676281349564944
19,3,36,37,2,1,1,75,0.0,3500,260,600,940,0.0510772000856884
0,6,18,21,1,2,2,35,0.0,0,0,400,500,0.7529839563127086
0,2,24,68,2,1,1,75,0.0,4162,0,900,1186,0.3473056727406083
15,3,24,52,1,1,3,35,0.0,16500,0,1500,2201,0.017549541627865237
33,1,24,68,2,1,3,65,0.0,5000,2000,600,1350,0.008626179971574522
0,4,48,36,2,1,2,45,0.0,750,0,1100,1511,0.35139333878929435
1,5,60,31,1,1,1,35,0.0,0,0,1250,1253,0.3729005201805608
2,1,60,25,1,1,1,46,0.0,0,0,1500,2189,0.3441015474839678
5,2,60,22,1,1,1,45,0.0,10000,0,1100,1159,0.06501826524873469
1,2,60,45,2,1,2,105,0.0,2000,500,600,1332,0.20971240981222705
27,1,60,41,2,1,1,74,0.0,0,0,950,1497,0.027901162663405303
26,2,60,51,2,1,1,45,0.0,3500,0,1350,1357,0.055257923120524494
12,2,36,54,2,1,1,60,0.0,4000,0,700,2100,0.023587633724513085
19,2,60,43,1,1,1,75,0.0,4000,0,1000,1070,0.06132338610735464
15,2,36,43,2,1,1,75,0.0,4000,0,1800,2557,0.06942390452690139
3,2,24,23,2,1,1,75,0.0,5000,0,600,1600,0.20821541760260376
4,2,48,29,2,1,1,45,0.0,5000,3300,1100,1312,0.3375243516364844
