Status,Seniority,Home,Time,Age,Marital,Records,Job,Expenses,Income,Assets,Debt,Amount,Price,ProbDef
0,9,1,60,30,2,1,3,73,129,0,0,800,846,0.33344191848389726
0,17,1,60,58,3,1,1,48,131,0,0,1000,1658,0.04732479254489402
1,10,2,36,46,2,2,3,90,200,3000,0,2000,2985,0.3869049743181368
0,0,1,60,24,1,1,1,63,182,2500,0,900,1325,0.21597843792925184
0,0,1,36,26,1,1,1,46,107,0,0,310,910,0.2343221649361898
0,1,2,60,36,2,1,1,75,214,3500,0,650,1645,0.05331537206758656
0,29,2,60,44,2,1,1,75,125,10000,0,1600,1800,0.04854607842630005
0,9,5,12,27,1,1,1,35,80,0,0,200,1093,0.08794128751273275
0,0,2,60,32,2,1,3,90,107,15000,0,1200,1957,0.2745643701553886
1,0,5,48,41,2,1,2,90,80,0,0,1200,1468,0.5791451842176953
0,6,2,48,34,2,1,3,60,125,4000,0,1150,1577,0.31625164452617355
0,7,2,36,29,2,1,1,60,121,3000,0,650,915,0.23754029397382134
0,8,2,60,30,2,1,1,75,199,5000,2500,1500,1650,0.2676281349564944
0,19,3,36,37,2,1,1,75,170,3500,260,600,940,0.051077200085688404
1,0,6,18,21,1,2,2,35,50,0,0,400,500,0.7529839563127086
0,0,2,24,68,2,1,1,75,131,4162,0,900,1186,0.3473056727406083
0,15,3,24,52,1,1,3,35,330,16500,0,1500,2201,0.017549541627865237
0,33,1,24,68,2,1,3,65,200,5000,2000,600,1350,0.008626179971574522
1,0,4,48,36,2,1,2,45,130,750,0,1100,1511,0.35139333878929435
0,1,5,60,31,1,1,1,35,137,0,0,1250,1253,0.3729005201805608
1,2,1,60,25,1,1,1,46,107,0,0,1500,2189,0.3441015474839678
0,5,2,60,22,1,1,1,45,324,10000,0,1100,1159,0.06501826524873469
1,1,2,60,45,2,1,2,105,112,2000,500,600,1332,0.20971240981222702
0,27,1,60,41,2,1,1,74,140,0,0,950,1497,0.027901162663405303
0,26,2,60,51,2,1,1,45,143,3500,0,1350,1357,0.055257923120524494
0,12,2,36,54,2,1,1,60,130,4000,0,700,2100,0.023587633724513085
0,19,2,60,43,1,1,1,75,180,4000,0,1000,1070,0.06132338610735464
0,15,2,36,43,2,1,1,75,251,4000,0,1800,2557,0.06942390452690139
