Seniority,Home,Time,Age,Marital,Records,Job,Expenses,Income,Assets,Debt,Amount,Price,ProbDef
9,1,60,30,2,1,3,73,88.7556233185933,0,0,800,846,0.33344191848389726
17,1,60,58,3,1,1,48,94.19503548285222,0,0,1000,1658,0.04732479254489402
10,2,36,46,2,2,3,90,93.23479743447449,3000,0,2000,2985,0.3869049743181368
0,1,60,24,1,1,1,63,94.46648270265803,2500,0,900,1325,0.21597843792925184
0,1,36,26,1,1,1,46,96.09512910003579,0,0,310,910,0.2343221649361898
1,2,60,36,2,1,1,75,95.69074349864599,3500,0,650,1645,0.05331537206758656
29,2,60,44,2,1,1,75,92.2964193109079,10000,0,1600,1800,0.04854607842630005
9,5,12,27,1,1,1,35,91.82666393685444,0,0,200,1093,0.08794128751273275
0,2,60,32,2,1,3,90,93.30436546949909,15000,0,1200,1957,0.2745643701553886
0,5,48,41,2,1,2,90,90.44605604217554,0,0,1200,1468,0.5791451842176953
6,2,48,34,2,1,3,60,91.53079244444997,4000,0,1150,1577,0.31625164452617355
7,2,36,29,2,1,1,60,90.90946610098013,3000,0,650,915,0.23754029397382134
8,2,60,30,2,1,1,75,93.7524837830812,5000,2500,1500,1650,0.2676281349564944
19,3,36,37,2,1,1,75,95.0019599066536,3500,260,600,940,0.051077200085688404
0,6,18,21,1,2,2,35,93.07778965118257,0,0,400,500,0.7529839563127086
0,2,24,68,2,1,1,75,92.44749389593372,4162,0,900,1186,0.3473056727406083
15,3,24,52,1,1,3,35,93.84077557154895,16500,0,1500,2201,0.017549541627865237
33,1,24,68,2,1,3,65,95.79308378015406,5000,2000,600,1350,0.008626179971574522
0,4,48,36,2,1,2,45,93.19463760605065,750,0,1100,1511,0.35139333878929435
1,5,60,31,1,1,1,35,92.38178879269877,0,0,1250,1253,0.3729005201805608
2,1,60,25,1,1,1,46,93.62442903371809,0,0,1500,2189,0.3441015474839678
5,2,60,22,1,1,1,45,90.53629746340575,10000,0,1100,1159,0.06501826524873469
1,2,60,45,2,1,2,105,92.88719722225797,2000,500,600,1332,0.20971240981222702
27,1,60,41,2,1,1,74,95.48360449848897,0,0,950,1497,0.027901162663405303
26,2,60,51,2,1,1,45,92.48121148337601,3500,0,1350,1357,0.055257923120524494
12,2,36,54,2,1,1,60,94.76818675421725,4000,0,700,2100,0.023587633724513085
19,2,60,43,1,1,1,75,92.19214877201036,4000,0,1000,1070,0.06132338610735464
15,2,36,43,2,1,1,75,91.26744780107141,4000,0,1800,2557,0.06942390452690139
3,2,24,23,2,1,1,75,93.32649891542164,5000,0,600,1600,0.20821541760260376
4,2,48,29,2,1,1,45,92.36544141056993,5000,3300,1100,1312,0.33752435163648437
0,2,36,23,1,1,2,45,95.66209469620462,2500,0,400,400,0.4271809298094153
14,3,24,51,2,1,2,75,94.76598148843588,1000,0,450,650,0.08768893388905924
10,2,36,39,2,1,3,75,89.43815377587964,3000,0,1000,1394,0.23877659112226002
12,5,36,35,1,1,1,35,93.6167944726849,0,0,1100,1542,0.09523874575719544
32,2,24,62,2,1,3,45,89.74465953284322,8500,0,700,1200,0.017978170446457047
10,2,24,56,2,1,3,45,91.92356792372095,13500,0,500,1560,0.020598539181141733
7,2,48,32,2,1,1,75,93.4244439287928,3000,0,800,1200,0.2135791124289363
1,1,54,36,2,1,1,70,93.72824143549104,0,0,950,950,0.538548374544578
30,2,60,64,2,1,1,45,95.2930917725427,14000,0,1125,1300,0.015237227088723545
5,1,48,31,1,1,1,44,91.89361735424538,0,0,1300,1700,0.3879133722223755
